club,id,createdAt,favorites,retweets,text
Narendra Modi,1600899736227049473,2022-12-08 17:06:55+00:00,6482,1695,"भाजपा के राजनीतिक जीवन में उतार-चढ़ाव चाहे कितने भी आए हों, लेकिन हम हमेशा आदर्शों और मूल्यों पर अडिग रहे हैं। https://t.co/2SigffiTCH"
Narendra Modi,1600899687510265856,2022-12-08 17:06:43+00:00,4029,1197,गुजरात के नतीजों ने यह सिद्ध किया है कि भाजपा ही भरोसे का दूसरा नाम है। https://t.co/h0NVp9m0TD
Narendra Modi,1600899615183675392,2022-12-08 17:06:26+00:00,3420,1084,युवाओं ने भारी संख्या में भाजपा को वोट देकर यह जता दिया है कि वे ना तो जातिवाद के बहकावे में आने वाले हैं और ना ही परिवारवाद के। उनका दिल सिर्फ विजन और विकास से ही जीता जा सकता है और भाजपा की राजनीति इन दोनों पर ही आधारित है। https://t.co/uwMftrSfS5
Narendra Modi,1600899548515225600,2022-12-08 17:06:10+00:00,3725,1095,"गुजरात, हिमाचल और दिल्ली की जनता-जनार्दन का बहुत-बहुत आभार। भाजपा को मिला जन-समर्थन… नए भारत की आकांक्षाओं का प्रतिबिंब है। भारत के युवाओं की सोच का प्रकटीकरण है। गरीब, दलित, वंचित, पिछड़े, आदिवासियों के सशक्तिकरण के लिए है। https://t.co/mDYCSxUK3Z"
Narendra Modi,1600847919992942594,2022-12-08 13:41:01+00:00,11866,3517,Speaking at the @BJP4India HQ in Delhi. https://t.co/1617VCfIdx
Narendra Modi,1600815759269466113,2022-12-08 11:33:13+00:00,13549,2050,Birthday wishes to Shri Parkash Singh Badal Sahab. He is widely respected for his contribution to Punjab’s progress. May he be blessed with a long and healthy life.
Narendra Modi,1600815477919748096,2022-12-08 11:32:06+00:00,38251,5092,I thank the people of Himachal Pradesh for the affection and support for the BJP. We will keep working to fulfil the aspirations of the state and raise people’s issues in the times to come. @BJP4Himachal
Narendra Modi,1600814845347377153,2022-12-08 11:29:35+00:00,28687,5580,"To all hardworking @BJP4Gujarat Karyakartas I want to say - each of you is a champion! This historic win would never be possible without the exceptional hardwork of our Karyakartas, who are the real strength of our Party."
Narendra Modi,1600814580401590274,2022-12-08 11:28:32+00:00,90500,14197,Thank you Gujarat. I am overcome with a lot of emotions seeing the phenomenal election results. People blessed politics of development and at the same time expressed a desire that they want this momentum to continue at a greater pace. I bow to Gujarat’s Jan Shakti.
Narendra Modi,1600448778129272832,2022-12-07 11:14:58+00:00,50504,7264,"Today, on Armed Forces Flag Day, we salute the valour and sacrifices of our armed forces. Since decades, they are at the forefront of protecting our nation and contributing to a stronger India. I also urge you all to contribute to the Armed Forces Flag Day Fund. https://t.co/8iryakJdJZ"
