club,id,createdAt,favorites,retweets,text
Taylor Swift,1590864637356310528,2022-11-11 00:31:01+00:00,222042,23478,Anti hero but make it acoustic 🥲  Now at https://t.co/WdrCmvMfo8 https://t.co/UgRTbfj0LN
Taylor Swift,1590781606918524929,2022-11-10 19:01:05+00:00,158976,17330,Take your self loathing to the dancefloor! 2 more Anti Hero remixes available on my site until 10pm ET tonight 🙃  https://t.co/WdrCmvMfo8 https://t.co/tAYh48ILOB
Taylor Swift,1590469691864018945,2022-11-09 22:21:38+00:00,109859,13662,The anti hero (Roosevelt remix) makes me feel hyped enough for an imaginary funeral brawl. It’s available on my site now!  https://t.co/WdrCmvu6a0 https://t.co/YsUfEl2vfe
Taylor Swift,1589725607075934208,2022-11-07 21:04:55+00:00,212817,27948,Jack’s version of ‘sexy baby’ is ‘art bro’ and we sincerely hope it confuses just as many people. Download Anti Hero featuring @bleachersmusic now at https://t.co/WdrCmvMfo8 https://t.co/52TIyZP0hf
Taylor Swift,1588516506349891584,2022-11-04 13:00:22+00:00,316710,30195,UM. Looks like I’ll get to see more of your beautiful faces than previously expected… we’re adding 8 shows to the tour 😆  https://t.co/KFuqvr0hhO https://t.co/4LTYSnwKJO
Taylor Swift,1587420273325838336,2022-11-01 12:24:20+00:00,720397,149113,"I’m enchanted to announce my next tour: Taylor Swift | The Eras Tour, a journey through the musical eras of my career (past &amp; present!) The first leg of the tour will be in stadiums across the US, with international dates to be announced as soon as we can! https://t.co/KFuqvrhSGo https://t.co/eVyTcuW8sK"
Taylor Swift,1587140950186512386,2022-10-31 17:54:24+00:00,807800,148682,10 out of 10 of the Hot 100??? On my 10th album??? I AM IN SHAMBLES. https://t.co/q1n5Zc6pYA
Taylor Swift,1585694302134468667,2022-10-27 18:05:57+00:00,211322,27750,Can I ask you a question… did you ever wonder who was responsible for those immaculate crowd vocals?  Question…? and Bejeweled instrumental versions available now at https://t.co/WdrCmvLHyA  @jackantonoff @rachelantonoff @dylanobrien @austinswift7 https://t.co/AB0CWjjHtr
Taylor Swift,1584759122473668608,2022-10-25 04:09:52+00:00,271416,57186,"Bejeweled video is out NOW! Directed by this tired tacky wench. Got to make this with my best friends @HAIMtheband, greatest of greats @LauraDern, icon of burlesque and glamour @DitaVonTeese, genius and actual dame @patmcgrathreal and my partner in Midnights mayhem @jackantonoff. https://t.co/RO8jA3csYW"
Taylor Swift,1583860953342709760,2022-10-22 16:40:52+00:00,305206,39146,A photo of the exact moment we found out about this review 🥲 https://t.co/xWiwVVPU98 https://t.co/4svE0hewvY
Taylor Swift,1583583146129227776,2022-10-21 22:16:58+00:00,688391,100710,"How did I get this lucky, having you guys out here doing something this mind blowing?!  Like what even just happened??!?! https://t.co/7kDKDrBwiD"
Taylor Swift,1583429735480451072,2022-10-21 12:07:22+00:00,371817,74659,"The Anti-Hero video is HERE, which I wrote and directed. Watch my nightmare scenarios and intrusive thoughts play out in real time  https://t.co/3ieastDifu https://t.co/h5mpzVLKDY"
Taylor Swift,1583353058305900544,2022-10-21 07:02:41+00:00,417713,89513,"Surprise! I think of Midnights as a complete concept album, with those 13 songs forming a full picture of the intensities of that mystifying, mad hour. However! There were other songs we wrote on our journey to find that magic 13.  https://t.co/jjqUNkpPke https://t.co/LKI3GmpPRF"
Taylor Swift,1583307631224987649,2022-10-21 04:02:10+00:00,455899,110507,Midnights is a wild ride of an album and I couldn’t be happier that my co pilot on this adventure was @jackantonoff. He’s my friend for life (presumptuous I know but I stand by it) and we’ve been making music together for nearly a decade HOWEVER…  https://t.co/jjqUNkGSme https://t.co/v7LboJJ9Ik
Taylor Swift,1583286291516772352,2022-10-21 02:37:22+00:00,398094,113169,"Here’s the teaser trailer for the videos I’ve made for Midnights 🌌 Thank you @amazonmusic for premiering this, the first video for Anti-Hero will be out tomorrow at 8am ET. And Midnights will be here SO SOON!!! https://t.co/jjqUNkpPke https://t.co/xzmqXa5Cqy"
Taylor Swift,1583083964931055616,2022-10-20 13:13:24+00:00,256302,41845,Midnights teaser trailer tonight during the 3rd quarter of Thursday Night Football on @primevideo so … meet me there? https://t.co/hr8ii9Oinj
Taylor Swift,1582944965470359552,2022-10-20 04:01:04+00:00,556346,114980,Our last midnight before Midnights… 🥹🌌  https://t.co/jjqUNkpPke https://t.co/d3geVkYUVp
Taylor Swift,1564100815069106176,2022-08-29 04:01:08+00:00,1126307,355618,"Midnights, the stories of 13 sleepless nights scattered throughout my life, will be out October 21. Meet me at midnight.  Pre-order now: https://t.co/jjqUNkphuG https://t.co/Fh96zK8vro"
Taylor Swift,1540382753677627393,2022-06-24 17:14:02+00:00,828995,140402,"I’m absolutely terrified that this is where we are - that after so many decades of people fighting for women’s rights to their own bodies, today’s decision has stripped us of that. https://t.co/mwK561oxxl"
Taylor Swift,1540183720845533185,2022-06-24 04:03:08+00:00,286133,61802,"About a year &amp; half ago I wrote a song about the story of a girl who always lived on the outside, looking in. Figuratively &amp; literally. The juxtaposition of her loneliness &amp; independence. Her curiosity &amp; fear all tangled up. Her persisting gentleness &amp; the world’s betrayal of it. https://t.co/2o1z8Hrht6"
Taylor Swift,1529295926057123841,2022-05-25 02:58:56+00:00,373809,51399,"Filled with rage and grief, and so broken by the murders in Uvalde. By Buffalo, Laguna Woods and so many others. By the ways in which we, as a nation, have become conditioned to unfathomable and unbearable heartbreak. Steve’s words ring so true and cut so deep. https://t.co/Rb5uwSTxty"
Taylor Swift,1470506710901084162,2021-12-13 21:31:35+00:00,620667,98933,"*don’t say it, don’t say it OKAY I’m saying it:* I’M FEELIN 32. And Alana is feeling 30. Don’t worry we tested everyone! Thank you so much for the birthday wishes, I love you all so much 🥰🥲🎂 https://t.co/X43eHWMlKJ"
Taylor Swift,1463277431700262915,2021-11-23 22:45:00+00:00,411900,82198,"NO PROBLEMS TODAY JUST CHAMPAGNE🥂 I wanted to share this video with you from when @aaron_dessner and I were doing our fittings for the video and there was a piano, so ofc this happened. SO stoked evermore has been honored like this. Congrats to all our fellow nominees #GRAMMYs https://t.co/e50IShhoe6"
Taylor Swift,1462908807034679303,2021-11-22 22:20:13+00:00,365509,42788,*FERAL SCREECH* https://t.co/YYhcecLUfm
Taylor Swift,1461732893852590087,2021-11-19 16:27:34+00:00,235251,24149,"Carole, you and your music mean more to me than I could ever sum up in a speech or a performance. But I TRIED. #RockHall2021 tomorrow at 8pm ET    📷: @GettyImages https://t.co/XcllXMJAjt"
Taylor Swift,1461138558962610178,2021-11-18 01:05:53+00:00,350925,52059,One of the saddest songs I’ve ever written just got sadder 🙃Drove up to Long Pond Studios to record All Too Well (Sad Girl Autumn Version) with the besties @aaron_dessner @heyjonlow   https://t.co/UnbELgJGAi https://t.co/Z1XK2zQkwf
Taylor Swift,1461094648819167245,2021-11-17 22:11:24+00:00,263152,29785,"So grateful for @Miles_Teller for being the greatest dance partner and friend to me. And @keleighteller, who is the coolest living human on planet earth. The bride was willing to risk it all 🥰🧣 https://t.co/PXHlKCo1iF"
Taylor Swift,1460387539060146177,2021-11-15 23:21:36+00:00,341611,43110,The first ever performance of All Too Well (10 min version) was at the AMC 13 theater in front of 400 fans. We recorded the acoustic performance so now we can all experience it together 🥲 It’s available here https://t.co/H55gVedcRh https://t.co/ntDSDI9tYV
Taylor Swift,1460266792023207945,2021-11-15 15:21:48+00:00,370743,73572,The reddest video EVER is out now. Directed by @blakelively who SMASHED it just like I smashed this cake.  https://t.co/Gm4xT1vuNk https://t.co/G0T66YdzMz
Taylor Swift,1459899686945447936,2021-11-14 15:03:03+00:00,501809,95969,"SURPRISE! NEW MUSIC VIDEO TOMORROW at 10am ET 🚨 I finally got to work with the brilliant, brave, &amp; wickedly funny @blakelively on her directorial debut. Join us as we raise a toast, and a little hell.   https://t.co/Gm4xT1vuNk https://t.co/2Qh7KEVUpD"
Taylor Swift,1459698548522508289,2021-11-14 01:43:48+00:00,282841,25950,Loving him was Redd. 😘 https://t.co/41iOOoB0qK
Taylor Swift,1459698546098282497,2021-11-14 01:43:47+00:00,182208,18919,It’s the 13th and I get to play on @nbcsnl tonight with host Jonathan Majors 😆 https://t.co/YrJGQpZKfR
Taylor Swift,1459640685397745664,2021-11-13 21:53:52+00:00,608246,74448,🤯🤯🤯🤯 https://t.co/NeHganujLO
Taylor Swift,1459331432803880962,2021-11-13 01:25:01+00:00,667681,131376,"I can’t begin to express my gratitude to Sadie and Dylan for giving us everything they had in order to tell this story. All Too Well The Short Film is out on YouTube, and showing all week at the AMC 13 theater in NYC. For you, from us. ♥️  https://t.co/YzOtPK5Hzd https://t.co/gniDuc8KlF"
Taylor Swift,1459320569246228481,2021-11-13 00:41:51+00:00,507798,62415,🥺🥺♥️♥️ https://t.co/rBfggzknSi
Taylor Swift,1459305182790041600,2021-11-12 23:40:42+00:00,271610,48023,Any time now…. (20 minutes til the all too well short film premiere!!!!) #alltoowelltheshortfilm 🧣  https://t.co/YzOtPK5Hzd
Taylor Swift,1459041713209630728,2021-11-12 06:13:46+00:00,496435,68268,I AM ALL TOO UNWELL 🥲 https://t.co/d9jArYsTSs
Taylor Swift,1459023801480474632,2021-11-12 05:02:36+00:00,821865,205125,"It never would have been possible to go back &amp; remake my previous work, uncovering lost art &amp; forgotten gems along the way if you hadn’t emboldened me. Red is about to be mine again, but it has always been ours. Now we begin again. Red (my version) is out  https://t.co/ZUAWDuv4jL https://t.co/Ji26KdOlWQ"
Taylor Swift,1458876078525759491,2021-11-11 19:15:36+00:00,642475,134839,This is my last day of life before #RedTaylorsVersion. Midnight. Tonight. https://t.co/Mgzlx3Qg3z
